designation,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat
Gaia DR2 6253668955039914496,2015.5,232.76887931861424,0.4498925730116952,-20.179862385600632,0.34960509938024037,0.5283011286055516,0.4650288561714943,-5.104625299394487,0.8342522801741362,-7.567209465375475,0.7368864836800217,1.5509945119459607,0.1020866840583321,19.368736,,,346.39875866704915,28.91213608545736,235.38938366894882,-1.1020439739415928
Gaia DR2 6253574431400114560,2015.5,233.2687760132762,0.26465232864255295,-20.82624785889615,0.21603417704441186,0.6998235836903148,0.2774407928824894,-5.472361036064933,0.5301199204347347,-4.567921083665538,0.43721863980834297,1.333549951647173,0.06966127217008328,18.464598,,,346.3217274063948,28.11685711892991,235.99888763815605,-1.617569598319183
Gaia DR2 6253647037828448512,2015.5,233.0228758429864,0.0728771435172141,-20.41396104949864,0.06436413834629869,0.32053775401388157,0.06911542686894075,1.2349054415275935,0.14442324765022693,-2.7232294402241166,0.13397845133480538,1.5897385725778028,0.016354525575614554,15.858583,,,346.43019874010014,28.579279519448367,235.67689447422893,-1.2721216663966444
Gaia DR2 6253670436809155200,2015.5,233.46067123462507,0.14645611168570574,-20.708805036432217,0.08900121812446743,0.1879420343111836,0.1598635894852857,-5.934231550764975,0.3119177238739053,-8.841817378985361,0.2048299190854997,1.5669268037109025,0.0333549246501205,17.768818,,,346.5626201268216,28.08798521939652,236.1453497443884,-1.4608812149000936
Gaia DR2 6253653012120957440,2015.5,232.54346905040492,0.6308503950541335,-20.54104133921155,0.4139916567170064,0.6344236839120316,0.6487959067100113,-5.17145464243311,1.4735793168506175,-2.033157737769999,0.9484314773470452,1.7699033040873688,0.16046552000486192,19.938667,,,345.9473331452102,28.775200005438446,235.271445078184,-1.5035498002865209
Gaia DR2 6253589725784793984,2015.5,232.96908273677312,0.11919842802817013,-20.65316525596015,0.07161942076904404,0.6178551334571399,0.13655493698829282,-9.694252864848572,0.19520373835616114,-4.643619587277146,0.15148901998378192,1.5720071686267718,0.02377628529757928,17.003654,,,346.2090716449878,28.43096971882724,235.68527238561435,-1.5164292319901673
Gaia DR2 6253713626995935744,2015.5,233.7585355962594,0.9125419635970021,-20.170060462730905,0.687274626057109,-0.7275582152693938,0.9832009736423857,-6.231334907563454,2.0165548204996484,-7.007714680940174,1.585961435270363,1.5750181501473592,0.24740074928026773,20.429811,,,347.20373077549453,28.30912128260772,236.2894359191877,-0.8714781274231768
Gaia DR2 6253563779881209344,2015.5,232.7105649621913,1.2967282540002114,-20.838497329185355,0.5360183225039206,-0.8526585457917569,1.1566907776202773,-1.8185990621826367,2.0612206792627865,-6.480231311723603,1.2388770327079766,1.4034224453924995,0.23820435479404095,20.225397,,,345.8631494107106,28.44739826333978,235.4950761580128,-1.7544389804672351
Gaia DR2 6253730566347289856,2015.5,233.63215436319865,1.5125946969044726,-20.024572124519825,0.9753565440470003,0.6472885969525,1.579979662077937,-15.740984512629698,3.397510663807435,-0.7741971332858902,2.3024102834367066,0.7174376155726739,0.36141824514236437,20.765259,,,347.2119812013663,28.496739314315306,236.13980594356553,-0.7580382817601244
Gaia DR2 6253690434170735616,2015.5,233.31323815063018,0.2350231075466795,-20.4661014614751,0.16405150318112827,0.28723194909170097,0.24806938401633577,-7.3175928389638125,0.555039921286757,-2.8534168895706573,0.3953581086153032,1.5774353515255437,0.05893910961432694,18.72958,,,346.62524337482864,28.36168084479049,235.95362617971588,-1.2578624615177698
Gaia DR2 6253706063558178816,2015.5,233.85012669517053,0.24719902483113973,-20.365889740930587,0.18387486823907087,-0.07906417285129637,0.30558038609648686,0.1573222458438674,0.5099975420186643,-3.2865407426239326,0.38315462249624344,1.3745296291696967,0.06082376936749557,18.806839,,,347.1297478301541,28.1054531475702,236.41897683368597,-1.0416403657720013
Gaia DR2 6253673872778224768,2015.5,233.45887115869908,1.1291386079653045,-20.59921191040473,0.648870774950215,0.6047531582008566,1.094631577749576,-3.43572957312006,2.7211247341509592,-2.7475735380753106,1.9414763682511607,1.6537100455324645,0.23870395385626111,20.601017,,,346.6427967569225,28.17173553774964,236.11774206441174,-1.3548068696690412
Gaia DR2 1346194178230472448,2015.5,269.3451151534715,0.027840900362802436,43.1924246483525,0.028551925626719824,0.5932655765609639,0.029491999246910643,7.053561538284932,0.06225352943200211,2.752246238986066,0.05929700887922131,1.5979085950688812,0.007285532878848527,15.70974,,,69.79205072375022,27.627966644844783,268.79636310187465,66.62896936864011
Gaia DR2 1346283852850755840,2015.5,269.4794001022279,0.07254070744394991,43.82510523725591,0.08084003867244827,0.440987744888237,0.08580881114851548,-0.4510414545520135,0.15484036742448418,-7.634101315229754,0.16621179724342144,1.5325261596067827,0.02456447492093927,17.361996,,,70.51333632644396,27.667233116096853,269.0282414946028,67.2626300295366
Gaia DR2 1346263030850914944,2015.5,269.4889437969839,1.1308600861671227,43.59402108207672,1.205500168777623,-2.2476507496571214,1.4351766036928328,-1.3100445101764913,2.277157089450712,1.4210740198268441,3.762510639359398,1.0542139689377272,0.302691898585883,20.901485,,,70.26003152441203,27.61162128392005,269.05149088647283,67.03161931027876
Gaia DR2 1346142256371492224,2015.5,267.8584930170235,0.5758177269385388,43.000565317634916,0.6639312486710106,0.08031773653196109,0.6395909909451049,2.244210358681614,1.3668761445619542,-7.426792979435261,1.7054721408198878,1.3498393241723339,0.16754069298357915,20.403118,,,69.3234728819304,28.649947790659912,266.08416435106335,66.41073944948032
Gaia DR2 1346126863206760064,2015.5,268.02717678430406,4.437579668015691,42.88773356560712,3.9718934761146567,,,,,,,,,21.095963,,,69.22610001111111,28.50618996989758,266.4018828804613,66.30237572463484
Gaia DR2 1346155557884366720,2015.5,268.6029547610543,1.5772808781706018,42.72754968891126,1.6264074073534343,,,,,,,,,18.631094,,,69.1476438489839,28.059740193291297,267.46092348001343,66.15451781777956
Gaia DR2 1346140126065876736,2015.5,268.0213153338409,0.23237930463820258,43.006453183973896,0.3210663348623837,0.1287810981828623,0.2917447829862544,1.025813191148777,0.5868006220491392,3.7705502537193825,1.0081710176283907,1.5430335188023798,0.07446452274522213,19.406872,,,69.35740608461677,28.534511588798992,266.38106172409346,66.42087913751689
Gaia DR2 1346131261253371648,2015.5,268.3834333849944,0.7423381851186003,42.99663349032,0.9717880978406762,0.6546190559545378,0.8255093706133892,-6.590705655409802,1.6624514379126396,-0.6621179628014585,1.8108392609900803,1.5714444235066982,0.26883174018012945,20.572695,,,69.40805023653641,28.27327102123883,267.04353665271225,66.41932498233932
Gaia DR2 1346296256716299392,2015.5,267.1426920464909,0.2971835873718963,42.70705203085269,0.6676933752978998,3.0617452676192642,0.4200634020664901,-5.676911935442396,0.8360845140228137,-0.23430260149074283,1.5334466532106326,1.2471097133074383,0.08041413482311144,19.376875,,,68.87591142429558,29.105926453408333,264.8136548408917,66.09490008529181
Gaia DR2 1346187164548028928,2015.5,269.130273962275,0.6284143061353474,43.24659461796802,0.6801382217071313,0.8646069948986145,0.6779725714696416,4.58879182473193,1.7590619500328677,8.380441024439463,1.9464550763546742,1.4006398518068917,0.1690294855133171,20.665327,,,69.81412647289689,27.79247861256142,268.39947831830733,66.68104355374756
